UEB_10	UEB_12	UEB_14	UEB_16	UEB_17	UEB_2	UEB_23	UEB_25	UEB_27	UEB_29	UEB_30	UEB_31	UEB_33	UEB_35	UEB_37	UEB_39	UEB_41	UEB_43	UEB_44	UEB_45	UEB_47	UEB_49	UEB_5	UEB_51	UEB_53	UEB_54	UEB_56	UEB_7	UEB_77	UEB_78	UEB_79	UEB_8	UEB_80	UEB_81	UEB_82	UEB_83	UEB_84
Signature.15	0.17399614214019	0.107009415850134	0.0858418023749986	0.120457313715199	0.114590235460839	0	0.132274463217811	0	0	0	0.0664928014959948	0	0	0.18643773112103	0.153211918581802	0	0	0.0941874717608817	0	0	0	0	0	0.135521902552285	0.0843008994135698	0	0	0	0	0.0811845423534517	0	0	0.126508123559534	0	0	0.12797571035656	0
Signature.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Signature.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Signature.18	0	0	0	0	0	0	0	0	0	0.0649810030396223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Signature.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Signature.20	0	0	0	0	0	0	0	0	0	0.0616534172935377	0	0	0	0	0	0	0	0	0	0	0	0.0720925626272332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Signature.21	0	0	0	0	0	0	0	0	0	0	0	0.06950835771505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Signature.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Signature.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Signature.24	0.20602809633369	0.150575573332935	0.198122819058031	0.142706041153846	0.209021740684744	0.145513717519275	0.218723001908355	0.164396118887481	0.245326778988359	0.218049010327452	0.249112769883965	0.117556889092586	0.20677688627192	0.203254241516092	0.110770531395459	0.0949828153662229	0.284974239487172	0.11969936873007	0.274593049457593	0.226238409335549	0.13421119606732	0.15309681868301	0.240928624809414	0.117870358334573	0.175979215968003	0.277319342563664	0.175076232148327	0.122218411583407	0.151647642353577	0.182109225068463	0.111987131135853	0.207452482994092	0.105199328870286	0.208458126379182	0.127121647702735	0.23480282859618	0.11427023949163
Signature.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Signature.26	0	0	0.103084159581394	0.083302143222653	0	0	0	0	0	0.0871343641518699	0.104372978792469	0	0	0	0	0	0	0	0	0.154300166661803	0.0981405703044774	0.0688310570567361	0.0934285464607377	0.0647592309910792	0	0	0.135622935962673	0	0	0	0	0	0	0	0	0	0
Signature.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Signature.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Signature.29	0	0	0	0.106397296826304	0	0.0867817554137186	0	0.266686655758937	0.168013870627694	0	0.0626777577209253	0.23454986628749	0.171578954706139	0.217501229726508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0758686287881381	0.0917016473420177	0.31252075733958
Signature.30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unknown	0.0158859078606709	0.0660107492591649	0.115635758410379	0.0326726003049539	0	0.100326403374542	0.0810527903684468	0.00789609994595719	0.0990691826213855	0.0126111953362292	0.0792672265945858	0.0742554797535863	0.11318498415465	0.0376129169094744	0.129247599078094	0.172376998219306	0.0995909070049892	0.0462081871510427	0.147905699966606	0.032576457987002	0.109380800144938	0.0184004205754587	0.0851284707631893	0.0118611490770345	0.0944152258039523	0.0317562537119681	0.068146257942494	0.118797073734191	0.176800070680705	0.0547360027472473	0.0694258062772717	0.0769365863219335	0	0.0761499551602386	0.0810346252869408	1.66396376677369e-08	0.0584022702564303
